id,organizationId,eventKey,name,category,description,emailEnabled,inAppEnabled,recipientsMode,roleIds,explicitEmails,templateId,isActive,createdAt,updatedAt
1,30001,grant_approved,Grant Approvals,grants,Notify when grants are approved or rejected,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
2,30001,budget_alert,Budget Alerts,finance,Notify when budget thresholds are exceeded,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
3,30001,project_update,Project Updates,projects,Notify on project milestone changes,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
4,30001,user_activity,User Activity,system,Notify on new user registrations and role changes,0,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
5,30001,report_generation,Report Generation,system,Notify when scheduled reports are ready,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
6,30001,system_alerts,System Alerts,system,Critical system notifications and maintenance,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
7,30001,expense_submitted,Expense Submitted,finance,Notify when expenses are submitted for approval,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
8,30001,hr_leave_request,Leave Requests,hr,Notify on leave request submissions and approvals,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
9,30001,procurement_request,Procurement Requests,logistics,Notify on new procurement requests,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
10,30001,meal_data_collection,MEAL Data Collection,meal,Notify when data collection is due or completed,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
11,30001,document_shared,Document Shared,documents,Notify when documents are shared with you,0,1,explicit_emails,,,,1,2026-02-07 14:39:34,2026-02-07 14:42:19
12,30001,task_assigned,Task Assigned,projects,Notify when tasks are assigned to you,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
13,30001,approval_pending,Approval Pending,system,Notify when approvals are waiting for your action,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
14,30001,donor_communication,Donor Communication,grants,Notify on donor report deadlines and communications,1,1,role,,,,1,2026-02-07 14:39:34,2026-02-07 14:39:34
